,Always Cooperate,Always Defect,Tit-for-Tat,Not-Tit-for-Tat
Always Cooperate,60,20,60,20
Always Defect,100,40,43,97
Tit-for-Tat,60,39,70,70
Not-Tit-for-Tat,100,21,72,97
