,Always Cooperate,Always Defect,Tit-for-Tat,Not-Tit-for-Tat
Always Cooperate,500,200,500,200
Always Defect,100,300,298,102
Tit-for-Tat,500,299,400,200
Not-Tit-for-Tat,100,201,363,400
