,Always Cooperate,Always Defect,Tit-for-Tat,Not-Tit-for-Tat
Always Cooperate,300,100,300,100
Always Defect,500,200,203,497
Tit-for-Tat,300,199,250,364
Not-Tit-for-Tat,500,101,366,250
