,Always Cooperate,Always Defect,Tit-for-Tat,Not-Tit-for-Tat
Always Cooperate,100,40,100,40
Always Defect,20,60,60,22
Tit-for-Tat,100,59,80,70
Not-Tit-for-Tat,20,41,70,80
